Change,Description,Date
New resources,"The following resources were added: AWS::Backup::BackupPlan, AWS::Backup::BackupSelection, AWS::Backup::BackupVault, AWS::PinpointEmail::ConfigurationSet, AWS::PinpointEmail::ConfigurationSetEventDestination, AWS::PinpointEmail::DedicatedIpPool, AWS::PinpointEmail::Identity, AWS::Transfer::Server, AWS::Transfer::User, AWS::WAFRegional::GeoMatchSet, AWS::WAFRegional::RateBasedRule, and AWS::WAFRegional::RegexPatternSet. AWS::Backup::BackupPlanContains an optional backup plan display name and an array of BackupRule objects, each of which specifies a backup rule. Each rule in a backup plan is a separate scheduled task and can back up a different selection of AWS resources. AWS::Backup::BackupSelectionSpecifies a set of resources to assign to a backup plan. AWS::Backup::BackupVaultCreates a logical container where backups are stored. A CreateBackupVault request includes a name, optionally one or more resource tags, an encryption key, and a request ID. AWS::PinpointEmail::ConfigurationSet Use the AWS::PinpointEmail::ConfigurationSet resource to specify configuration sets for the Amazon Pinpoint Email API. AWS::PinpointEmail::ConfigurationSetEventDestination Use the AWS::PinpointEmail::ConfigurationSetEventDestination resource to specify destinations for events related to sending email in the Amazon Pinpoint Email API. AWS::PinpointEmail::DedicatedIpPool Use the AWS::PinpointEmail::DedicatedIpPool resource to specify groups of dedicated IP addresses in the Amazon Pinpoint Email API. AWS::PinpointEmail::Identity Use the AWS::PinpointEmail::Identity resource to specify identities (email addresses or domains) for sending email through the Amazon Pinpoint Email API. AWS::Transfer::ServerCreates an autoscaling virtual server based on Secure File Transfer Protocol (SFTP) in AWS. AWS::Transfer::UserCreates a user and associates them with an existing Secure File Transfer Protocol (SFTP) server. AWS::WafRegional::GeoMatchSetThe AWS::WAFRegional::GeoMatchSet resource contains one or more countries that AWS WAF will search for. AWS::WafRegional::RateBasedRuleThe AWS::WAFRegional::RateBasedRule resource is identical to a regular Rule, with one addition: a RateBasedRule counts the number of requests that arrive from a specified IP address every five minutes. AWS::WafRegional::RegexPatternSetThe AWS::WAFRegional::RegexPatternSet resource specifies the regular expression (regex) pattern that you want AWS WAF to search for.","May 23, 2019"
Updated resources,"The following resources were updated: AWS::AppSync::GraphQLApi, AWS::Cognito::UserPool, AWS::Glue::Classifier, AWS::Glue::Crawler, AWS::Glue::DevEndpoint, AWS::Glue::Job, and AWS::Glue::Trigger. AWS::AppSync::GraphQLApi Use the AdditionalAuthenticationProviders property to specify a list of additional authentication providers for the GraphqlApi API.  Use the Tags property to specify an arbitrary set of tags (key-value pairs) for this GraphQL API. AWS::Cognito::UserPool In the PasswordPolicy property type, use the TemporaryPasswordValidityDays property to specify the number of days a temporary password is valid. If the user does not sign-in during this time, their password will need to be reset by an administrator. Note When you set TemporaryPasswordValidityDays for a user pool, you will no longer be able to set the deprecated UnusedAccountValidityDays value for that user pool.   AWS::Glue::Classifier Use the CsvClassifier property to specify a classifier for comma-separated values (CSV). AWS::Glue::Crawler Use the CrawlerSecurityConfiguration property to specify the name of the SecurityConfiguration structure to be used by this crawler.  Use the Tags property to specify the tags to use with this crawler request. You can use tags to limit access to the crawler. AWS::Glue::DevEndpoint Use the SecurityConfiguration property to specify the name of the SecurityConfiguration structure to be used by this DevEndpoint.  Use the Tags property to specify the tags to use with this DevEndpoint. You can use tags to limit access to the DevEndpoint. AWS::Glue::Job Use the SecurityConfiguration property to specify the name of the SecurityConfiguration structure to be used with this job.  Use the Tags property to specify the tags to use with this job. You can use tags to limit access to the job. AWS::Glue::Trigger Use the Tags property to specify the tags to use with this trigger. You can use tags to limit access to the trigger.","May 17, 2019"
New resources,"The following resources were added: AWS::Glue::DataCatalogEncryptionSettings, AWS::Glue::SecurityConfiguration, and AWS::MediaStore::Container. AWS::Glue::DataCatalogEncryptionSettingsSets the security configuration for a specified catalog. After the configuration has been set, the specified encryption is applied to every catalog write thereafter. AWS::Glue::SecurityConfigurationCreates a new security configuration. AWS::MediaStore::ContainerThe AWS::MediaStore::Container resource specifies a storage container to hold objects. A container is similar to a bucket in Amazon S3. When you create a container using AWS CloudFormation, the template manages data for five API actions: creating a container, setting access logging, updating the default container policy, adding a cross-origin resource sharing (CORS) policy, and adding an object lifecycle policy.","May 17, 2019"
Updated resource,"The following resource was updated: AWS::ServiceCatalog::CloudFormationProduct. AWS::ServiceCatalog::CloudFormationProduct In the ProvisioningArtifactProperties property type, if DisableTemplateValidation is set to true, AWS Service Catalog stops validating the specified provisioning artifact even if it is invalid.","May 3, 2019"
New resources,"The following resources were added: AWS::ApiGatewayV2::ApiMapping and AWS::ApiGatewayV2::DomainName. AWS::ApiGatewayV2::ApiMappingThe AWS CloudFormation AWS::ApiGatewayV2::ApiMapping resource contains an API mapping. AWS::ApiGatewayV2::DomainName Use the AWS CloudFormation AWS::ApiGatewayV2::DomainName resource to specify a custom, friendly URL for your API in API Gateway.","May 3, 2019"
Limit for resources in concurrent stack operations,"CloudFormation now enforces an account limit for the number of resources in concurrent stack operations. This limit is determined by region. For more information, see AWS CloudFormation quotas","April 30, 2019"
Updated resources,"The following resources were updated: AWS::Greengrass::FunctionDefinition and AWS::Greengrass::FunctionDefinitionVersion. AWS::Greengrass::FunctionDefinition In the FunctionConfiguration property type, the MemorySize and Timeout properties are no longer required. AWS::Greengrass::FunctionDefinitionVersion In the FunctionConfiguration property type, the MemorySize and Timeout properties are no longer required.","April 25, 2019"
Updated resources,"The following resources were updated: AWS::ECS::TaskDefinition, AWS::ElasticLoadBalancingV2::TargetGroup AWS::ECS::TaskDefinition Use the ProxyConfiguration property to specify the configuration details for an App Mesh proxy.  In the ContainerDefinition property type:  Use the DependsOn property to specify the dependencies defined for container startup and shutdown.   Use the StartTimeout property to specify the time duration to wait before giving up on resolving dependencies for a container.   Use the StopTimeout property to specify the time duration to wait before the container is forcefully killed if it doesn't exit normally on its own.   AWS::ElasticLoadBalancingV2::TargetGroup Use the HealthCheckEnabled property to indicate whether health checks are enabled. The Port, Protocol, and VpcId properties are now required only if the target type is instance or ip.","April 18, 2019"
New resource,The following resource was added: AWS::EC2::CapacityReservation. AWS::EC2::CapacityReservation Use the AWS::EC2::CapacityReservation resource to create a Capacity Reservation.,"April 18, 2019"
Updated resources,"The following resource was updated: AWS::Batch::JobDefinition and AWS::ServiceCatalog::CloudFormationProvisionedProduct. AWS::Batch::JobDefinition Use the ResourceRequirement property type to specify the type and amount of a resource to assign to a container. Currently, the only supported resource type is GPU.  AWS::ServiceCatalog::CloudFormationProvisionedProductThe Tags property requires the provisioned product to have a RESOURCE_UPDATE constraint with TagUpdatesOnProvisionedProduct set to ALLOWED to allow tag updates. The Tags property now requires no interruption upon update.","April 4, 2019"
New resource,The following resource was added: AWS::ServiceCatalog::ResourceUpdateConstraint. AWS::ServiceCatalog::ResourceUpdateConstraint Use the AWS::ServiceCatalog::ResourceUpdateConstraint resource to create a RESOURCE_UPDATE constraint for Service Catalog.,"April 4, 2019"
Updated resources,"The following resources were updated: AWS::AppStream::Fleet, AWS::AppStream::ImageBuilder, AWS::AppStream::Stack, and AWS::EKS::Cluster. AWS::AppStream::Fleet, AWS::AppStream::ImageBuilder, and AWS::AppStream::Stack Use the Tags property to add or overwrite one or more tags for an Amazon AppStream 2.0 fleet, stack, or image builder. AWS::EKS::ClusterUpdates to the Version property no longer require replacement.","March 28, 2019"
New resources,"The following resources were added: AWS::AppMesh::Mesh, AWS::AppMesh::Route, AWS::AppMesh::VirtualNode, AWS::AppMesh::VirtualRouter, and AWS::AppMesh::VirtualService. AWS::AppMesh::MeshThe AWS::AppMesh::Mesh resource to specify a service mesh. A service mesh is a logical boundary for network traffic between the services that reside within it. AWS::AppMesh::Route Use the AWS::AppMesh::Route resource to specify a route that is associated with a virtual router. AWS::AppMesh::VirtualNode Use the AWS::AppMesh::VirtualNode resource to specify a virtual node within a service mesh. AWS::AppMesh::VirtualRouter Use the AWS::AppMesh::VirtualRouter resource to specify a virtual router within a service mesh. AWS::AppMesh::VirtualService Use the AWS::AppMesh::VirtualService resource to specify a virtual service within a service mesh.","March 27, 2019"
New resources,"The following resources were added: AWS::Greengrass::ConnectorDefinition, AWS::Greengrass::ConnectorDefinitionVersion, AWS::Greengrass::CoreDefinition, AWS::Greengrass::CoreDefinitionVersion, AWS::Greengrass::DeviceDefinition, AWS::Greengrass::DeviceDefinitionVersion, AWS::Greengrass::FunctionDefinition, AWS::Greengrass::FunctionDefinitionVersion, AWS::Greengrass::Group, AWS::Greengrass::GroupVersion, AWS::Greengrass::LoggerDefinition, AWS::Greengrass::LoggerDefinitionVersion, AWS::Greengrass::ResourceDefinition, AWS::Greengrass::ResourceDefinitionVersion, AWS::Greengrass::SubscriptionDefinition, and AWS::Greengrass::SubscriptionDefinitionVersion. AWS::Greengrass::ConnectorDefinition and AWS::Greengrass::ConnectorDefinitionVersion Use the AWS::Greengrass::ConnectorDefinition and AWS::Greengrass::ConnectorDefinitionVersion resources to create and manage your connectors. AWS::Greengrass::CoreDefinition and AWS::Greengrass::CoreDefinitionVersion Use the AWS::Greengrass::CoreDefinition and AWS::Greengrass::CoreDefinitionVersion resources to create and manage your cores. AWS::Greengrass::DeviceDefinition and AWS::Greengrass::DeviceDefinitionVersion Use the AWS::Greengrass::DeviceDefinition and AWS::Greengrass::DeviceDefinitionVersion resources to create and manage your devices. AWS::Greengrass::FunctionDefinition and AWS::Greengrass::FunctionDefinitionVersion Use the AWS::Greengrass::FunctionDefinition and AWS::Greengrass::FunctionDefinitionVersion resources to create and manage your functions. AWS::Greengrass::Group and AWS::Greengrass::GroupVersion Use the AWS::Greengrass::Group and AWS::Greengrass::GroupVersion resources to create and manage your Greengrass groups. AWS::Greengrass::LoggerDefinitionVersion and AWS::Greengrass::LoggerDefinition Use the AWS::Greengrass::LoggerDefinition and AWS::Greengrass::LoggerDefinitionVersion resources to create and manage your logging configuration. AWS::Greengrass::ResourceDefinition and AWS::Greengrass::ResourceDefinitionVersion Use the AWS::Greengrass::ResourceDefinition and AWS::Greengrass::ResourceDefinitionVersion resources to create and manage your local, machine learning, and secret resources. AWS::Greengrass::SubscriptionDefinition and AWS::Greengrass::SubscriptionDefinitionVersion Use the AWS::Greengrass::SubscriptionDefinition and AWS::Greengrass::SubscriptionDefinitionVersion resources to create and manage your subscriptions.","March 15, 2019"
Updated resources,"The following resources were updated: AWS::CodeBuild::Project, AWS::OpsWorksCM::Server, and AWS::SageMaker::NotebookInstance. AWS::CodeBuild::Project In the Project Source property type, use the GitSubmodulesConfig property to get information about Git submodules for a project.  In the Project S3Logs property type, use the EncryptionDisabled property to disable encryption on S3 build logs. AWS::OpsWorksCM::Server Use the AssociatePublicIpAddress property to associate a public IP address with the server. AWS::SageMaker::NotebookInstance Use the RootAccess property to specify whether root access is enabled or disabled for users of the notebook instance.","March 14, 2019"
Updated resources,The following resources were updated: AWS::StepFunctions::Activity and AWS::StepFunctions::StateMachine. AWS::StepFunctions::Activity Use the Tags property to specify the tags (key-value pairs) that you want to attach to the Step Functions activity. AWS::StepFunctions::StateMachine Use the Tags property to specify the tags (key-value pairs) that you want to attach to the Step Functions state machine.,"March 7, 2019"
Updated resource,The following resource was updated: AWS::SageMaker::NotebookInstance. AWS::SageMaker::NotebookInstance Use the VolumeSizeInGB property to specify the size in GB of the persisted machine learning storage volume that is provisioned and attached to the SageMaker notebook instance.,"February 28, 2019"
Updated resources,"The following resources were updated: AWS::ApiGateway::ApiKey, AWS::CodeBuild::Project, AWS::Elasticsearch::Domain, AWS::RDS::DBCluster, and AWS::RDS::DBInstance. AWS::ApiGateway::ApiKey Use the Value property to specify the value of the API key. AWS::CodeBuild::Project In the ProjectCache property type, you can use the Modes property to specify the type cache an AWS CodeBuild project uses. AWS::Elasticsearch::Domain Use the NodeToNodeEncryptionOptions property to specify whether node-to-node encryption is enabled. AWS::RDS::DBCluster Use the SourceRegion property to specify the AWS Region which contains the source DB cluster when replicating a DB cluster. AWS::RDS::DBInstance Use the UseDefaultProcessorFeatures property to specify that the DB instance class of the DB instance uses its default processor features.","February 21, 2019"
New resources,"The following resources were added: AWS::RAM::ResourceShare, AWS::RoboMaker::Fleet, AWS::RoboMaker::Robot, AWS::RoboMaker::RobotApplication, AWS::RoboMaker::RobotApplicationVersion, AWS::RoboMaker::SimulationApplication, and AWS::RoboMaker::SimulationApplicationVersion. AWS::RAM::ResourceShare Use the AWS::RAM::ResourceShare resource to create, update, and delete an Amazon ResourceShare. AWS::RoboMaker::Fleet Use the AWS::RoboMaker::Fleet resource to to create an AWS RoboMaker fleet. AWS::RoboMaker::Robot Use the AWS::RoboMaker::Robot resource to create an AWS RoboMaker robot. AWS::RoboMaker::RobotApplication Use the AWS::RoboMaker::RobotApplication resource to create an AWS RoboMaker robot application. AWS::RoboMaker::RobotApplicationVersion Use the AWS::RoboMaker::RobotApplicationVersion resource to create a version of an AWS RoboMaker robot application. AWS::RoboMaker::SimulationApplication Use the AWS::RoboMaker::SimulationApplication resource to create an AWS RoboMaker simulation application. AWS::RoboMaker::SimulationApplicationVersion Use the AWS::RoboMaker::SimulationApplicationVersion resource to create a version of an AWS RoboMaker simulation application.","February 21, 2019"
Updated resource,"The following resource was updated: AWS::CodeBuild::Project. AWS::CodeBuild::Project In the ProjectTriggers property type, you can use the WebhookFilters property to specify the webhook events that trigger a new AWS CodeBuild build.","February 15, 2019"
New resources,"The following resources were added: AWS::FSx::FileSystem, AWS::KinesisAnalyticsv2::Application, AWS::KinesisAnalyticsv2::ApplicationCloudWatchLoggingOption, AWS::KinesisAnalyticsv2::ApplicationOutput, and AWS::KinesisAnalyticsv2::ApplicationReferenceDataSource. AWS::FSx::FileSystem Use the AWS::FSx::FileSystem resource to create a new Amazon FSx for Lustre or Amazon FSx for Windows File Server file system. AWS::KinesisAnalyticsV2::Application Use the AWS::KinesisAnalyticsV2::Application resource to create an Amazon Kinesis Data Analytics application. AWS::KinesisAnalyticsV2::ApplicationCloudWatchLoggingOption Use the AWS::KinesisAnalyticsV2::ApplicationCloudWatchLoggingOption resource to add an Amazon CloudWatch log stream to monitor application configuration errors. AWS::KinesisAnalyticsV2::ApplicationOutput Use the AWS::KinesisAnalyticsV2::ApplicationOutput resource to describe a SQL-based Amazon Kinesis Data Analytics application's output configuration. AWS::KinesisAnalyticsV2::ApplicationReferenceDataSource Use the AWS::KinesisAnalyticsV2::ApplicationReferenceDataSource resource to describe a reference data source for a SQL-based Amazon Kinesis Data Analytics application.","February 15, 2019"
Updated resources,"The following resources were updated: AWS::OpsWorksCM::Server, AWS::ServiceDiscovery::Instance, and AWS::ServiceDiscovery::Service. AWS::OpsWorksCM::ServerEngineAttributes were updated to include additional attributes that you can use to create an AWS OpsWorks for Puppet Enterprise master server. AWS::ServiceDiscovery::InstanceThe InstanceAttributes property now takes a String map value. AWS::ServiceDiscovery::ServiceThe DNSConfig property is no longer required. An update to the HealthCheckCustomConfig property now requires replacement.","February 8, 2019"
New resources,"The following resources were added: AWS::ApiGatewayV2::Api, AWS::ApiGatewayV2::Authorizer, AWS::ApiGatewayV2::Deployment, AWS::ApiGatewayV2::Integration, AWS::ApiGatewayV2::IntegrationResponse, AWS::ApiGatewayV2::Model, AWS::ApiGatewayV2::Route, AWS::ApiGatewayV2::RouteResponse, and AWS::ApiGatewayV2::Stage. AWS::ApiGatewayV2::Api Use the AWS::ApiGatewayV2::Api resource to manage an API Gateway WebSocket API. AWS::ApiGatewayV2::Authorizer Use the AWS::ApiGatewayV2::Authorizer resource to represent an API Gateway authorizer function. AWS::ApiGatewayV2::Deployment Use the AWS::ApiGatewayV2::Deployment resource to create an API Gateway WebSocket API deployment. AWS::ApiGatewayV2::Integration Use the AWS::ApiGatewayV2::Integration resource to specify information about the target backend that an API Gateway route calls. AWS::ApiGatewayV2::IntegrationResponse Use the AWS::ApiGatewayV2::IntegrationResponse resource to specify the response that API Gateway sends after a route's backend finishes processing a WebSocket message. AWS::ApiGatewayV2::Model Use the AWS::ApiGatewayV2::Model resource to define the structure of a route request or response payload for an API Gateway WebSocket API. AWS::ApiGatewayV2::Route Use the AWS::ApiGatewayV2::Route resource to specify information that is expected to be present in a WebSocket message payload. AWS::ApiGatewayV2::RouteResponse Use the AWS::ApiGatewayV2::RouteResponse resource to define the responses that can be sent to the client that sends a message to an API Gateway WebSocket API. AWS::ApiGatewayV2::Stage Use the AWS::ApiGatewayV2::Stage resource to create a stage for an API Gateway WebSocket API deployment.","February 8, 2019"
Updated resources,"The following resources were updated: AWS::CodeBuild::Project and AWS::ElasticLoadBalancingV2::Listener. AWS::CodeBuild::Project In the Environment property type, you can use the ImagePullCredentialsType property to specify the type of credentials AWS CodeBuild uses to pull images in your build.  In the Environment property type, you can use the RegistryCredential property to provide information about credentials that provide access to a private Docker registry. AWS::ElasticLoadBalancingV2::ListenerCreate TLS listeners for your Network Load Balancers.","January 24, 2019"
New resource,The following resource was added: AWS::OpsWorksCM::Server. AWS::OpsWorksCM::Server Use the AWS::OpsWorksCM::Server resource to create an AWS OpsWorks for Chef Automate or AWS OpsWorks for Puppet Enterprise server.,"January 24, 2019"
UpdateReplacePolicy attribute added," Use the UpdateReplacePolicy attribute to retain or (in some cases) backup the existing physical instance of a resource when it is replaced during a stack update operation. For more information, see UpdateReplacePolicy Attribute.","January 23, 2019"
Updated resource,"The following resource was updated: AWS::Inspector::AssessmentTarget AWS::Inspector::AssessmentTargetThe ResourceGroupArn property is no longer required. If unspecified, all Amazon EC2 instances in your AWS account in the current region will be included in the assessment target.","January 17, 2019"
Updated resource,"The following resource was updated: AWS::ServiceCatalog::CloudFormationProvisionedProduct. AWS::ServiceCatalog::CloudFormationProvisionedProductThe ProductId property now requires no interruption upon update. The ProductName property now requires no interruption upon update. Each time a stack is created or updated, if ProductName is provided it will successfully resolve to ProductId as long as only one product exists in the account/region with that ProductName.","January 10, 2019"
New resources,"The following resources were added: AWS::DocDB::DBCluster, AWS::DocDB::DBClusterParameterGroup, AWS::DocDB::DBInstance, and AWS::DocDB::DBSubnetGroup. AWS::DocDB::DBCluster Use the AWS::DocDB::DBCluster resource to manage an Amazon DocumentDB cluster. AWS::DocDB::DBClusterParameterGroup Use the AWS::DocDB::DBClusterParameterGroup resource to manage an Amazon DocumentDB cluster parameter group. AWS::DocDB::DBInstance Use the AWS::DocDB::DBInstance resource to manage an Amazon DocumentDB instance. AWS::DocDB::DBSubnetGroup Use the AWS::DocDB::DBSubnetGroup resource to describe an Amazon DocumentDB subnet group.","January 10, 2019"
Updated resources,"The following resources were updated: AWS::AmazonMQ::Broker, AWS::AmazonMQ::Configuration, and AWS::SageMaker::Model. AWS::AmazonMQ::Broker Use the Tags property to specify an array of key-value pairs for cost allocation tagging. AWS::AmazonMQ::Configuration Use the Tags property to specify an array of key-value pairs for cost allocation tagging. AWS::SageMaker::Model Use the Containers property to specify the list of containers in the inference pipeline.","January 3, 2019"
New resource,The following resource was added: AWS::Route53Resolver::ResolverRuleAssociation. AWS::Route53Resolver::ResolverRuleAssociation Use the AWS::Route53Resolver::ResolverRuleAssociation resource to associate an Amazon Route 53 Resolver rule and a VPC that you created using Amazon Virtual Private Cloud (Amazon VPC).,"January 3, 2019"
Updated resource,The following resource was updated: AWS::AmazonMQ::Broker. AWS::AmazonMQ::BrokerThe following attributes are now available using the Fn::Getatt intrinsic function: IpAddresses  MqttEndpoints  OpenWireEndpoints  AmqpEndpoints  StompEndpoints  WssEndpoints,"December 13, 2018"
Stack instance operation limit,"For StackSets, you can have a maximum of 1500 stack instance operations running in a given region at the same time, per administrator account. For more information, see AWS CloudFormation quotas.","December 13, 2018"
New resources,"The following resources were added: AWS::AmazonMQ::ConfigurationAssociation, AWS::IoTAnalytics::Channel, AWS::IoTAnalytics::Dataset, AWS::IoTAnalytics::Datastore, and AWS::IoTAnalytics::Pipeline. AWS::AmazonMQ::ConfigurationAssociation Use the AWS::AmazonMQ::ConfigurationAssociation resource to associate a configuration with a broker, or return information about the specified configuration association. AWS::IoTAnalytics::Channel Use the AWS::IoTAnalytics::Channel resource to create a channel. A channel collects data from an MQTT topic and archives the raw, unprocessed messages before publishing the data to a pipeline. AWS::IoTAnalytics::Dataset Use the AWS::IoTAnalytics::Dataset resource to create a data set. A data set retrieves data from a data store and allows you to explore and analyze your data using machine learning tools. AWS::IoTAnalytics::Datastore Use the AWS::IoTAnalytics::Datastore resource to create a data store. A data store holds messages from a channel which have been processed through a pipeline. AWS::IoTAnalytics::Pipeline Use the AWS::IoTAnalytics::Pipeline resource to create a pipeline. A pipeline consumes messages from one or more channels and allows you to process the messages before storing them in a data store.","December 13, 2018"
The CAPABILITY_AUTO_EXPAND capability is now available.," Use the CAPABILITY_AUTO_EXPAND capability to create or update a stack directly from a stack template that contains macros, without first reviewing the resulting changes in a change set first. For more information, see CreateStack or UpdateStack in AWS CloudFormation API Reference.","December 7, 2018"
Updated resource,"The following resource was updated: AWS::CodeBuild::Project. AWS::CodeBuild::Project In the Environment property type, you can use the Certificate property to specify a certificate to use with your build project.   In the Artifacts property type, you can use the ArtifactIdentifier property to identify the project artifact.   In the Source property type, you can use the SourceIdentifier property to identify the project source.","December 6, 2018"
Updated resource,The following resource was updated: AWS::Lambda::Function AWS::Lambda::Function Use the Layers property to specify a list of Amazon Resource Names (ARNs) for the function layers to add to the function's execution environment.,"November 29, 2018"
New resources,"The following resources were added: AWS::Lambda::LayerVersion, AWS::Lambda::LayerVersionPermission. AWS::Lambda::LayerVersion Use the AWS CloudFormation AWS::Lambda::LayerVersion resource to create a layer version in AWS Lambda. AWS::Lambda::LayerVersionPermission Use the AWS CloudFormation AWS::Lambda::LayerVersionPermission resource to give other accounts permission to use a layer version in AWS Lambda.","November 29, 2018"
Updated resources,"The following resources were updated: AWS::DynamoDB::Table, AWS::EC2::Instance, and AWS::ServiceDiscovery::Service. AWS::DynamoDB::Table Use the BillingMode property to specify how you are charged for read and write throughput and how you manage capacity. The ProvisionedThroughput property is now conditional.  In the GlobalSecondaryIndex property type, the ProvisionedThroughput property is now conditional. AWS::EC2::Instance Use the ElasticInferenceAccelerators property to specify a list of elastic inference accelerators for an instance.  Use the LicenseSpecifications property to associate a list of license configuration with an instance. AWS::ServiceDiscovery::Service Use the NamespaceId property to specify the ID of the namespace that you want to use to create the service.  In the DnsConfig property type, use the RoutingPolicy property to specify the routing policy that you want to apply to all DNS records that AWS Cloud Map creates when you register an instance and specify this service.","November 28, 2018"
New resource,The following resource was added: AWS::ServiceDiscovery::HttpNamespace. AWS::ServiceDiscovery::HttpNamespace Use the HttpNamespace resource to create an HTTP namespace for Cloud Map.,"November 28, 2018"
New resources,"The following resources were added: AWS::EC2::TransitGateway, AWS::EC2::TransitGatewayAttachment, AWS::EC2::TransitGatewayRoute, AWS::EC2::TransitGatewayRouteTable, AWS::EC2::TransitGatewayRouteTableAssociation, and AWS::EC2::TransitGatewayRouteTablePropagation. AWS::EC2::TransitGateway Use the AWS::EC2::TransitGateway resource to create a transit gateway. AWS::EC2::TransitGatewayAttachment Use the AWS::EC2::TransitGatewayAttachment resource to create an attachment between a VPC and a transit gateway. AWS::EC2::TransitGatewayRoute Use the AWS::EC2::TransitGatewayRoute resource to create a static route for a transit gateway route table. AWS::EC2::TransitGatewayRouteTable Use the AWS::EC2::TransitGatewayRouteTable resource to create a route table for a transit gateway. AWS::EC2::TransitGatewayRouteTableAssociation Use the AWS::EC2::TransitGatewayRouteTableAssociation resource to associate an attachment with a transit gateway route table. AWS::EC2::TransitGatewayRouteTablePropagation Use the AWS::EC2::TransitGatewayRouteTablePropagation resource to enable an attachment to propagate routes.","November 26, 2018"
New resources,"The following resources were added: Alexa::ASK::Skill, AWS::AppSync::FunctionConfiguration, AWS::EC2::EC2Fleet, AWS::Kinesis::StreamConsumer, AWS::Route53Resolver:ResolverEndpoint, and AWS::Route53Resolver::ResolverRule. Alexa::ASK::Skill Use the Alexa::ASK::Skill resource to create an Alexa skill. AWS::AppSync::FunctionConfiguration Use the AWS::AppSync::FunctionConfiguration resource to describe the functions defined with appsync datasource in AWS AppSync. AWS::EC2::EC2Fleet Use the AWS::EC2::EC2Fleet resource to launch an EC2 Fleet that can include multiple launch specifications that vary by instance type, AMI, Availability Zone, or subnet. AWS::Kinesis::StreamConsumer Use the AWS::Kinesis::StreamConsumer resource to to register a consumer with a Kinesis data stream. AWS::Route53Resolver::ResolverEndpoint Use the AWS::Route53Resolver::ResolverEndpoint resource to specify settings for inbound or outbound endpoints for Amazon Route 53. AWS::Route53Resolver::ResolverRule Use the AWS::Route53Resolver::ResolverRule resource to specify detailed information about a resolver rule, which specifies how to route DNS queries out of a VPC for Amazon Route 53.","November 20, 2018"
Updated resources,"The following resources were updated: AWS::ApiGateway::Deployment, AWS::ApiGateway::Stage, AWS::AutoScaling::AutoScalingGroup, AWS::EC2::EIP, AWS::ElasticLoadBalancingV2::Listener, AWS::EMR::Cluster, AWS::OpsWorks::Layer, AWS::RDS::DBCluster, AWS::RDS::DBInstance, AWS::S3::Bucket, and AWS::SNS::Topic. AWS::ApiGateway::Deployment In the StageDescription property type, use the Tags property to specify the AWS CloudFormation resource tags to associate with the stage. AWS::ApiGateway::Stage Use the Tags property to specify the AWS CloudFormation resource tags to associate with the stage. AWS::AutoScaling::AutoScalingGroup Use the MixedInstancesPolicy property to provision a combination of On-Demand Instances and Spot Instances across multiple instance types. When you create your Auto Scaling group, you can specify a launch configuration or template as a parameter for the top-level object, or you can specify a mixed instances policy, but not both at the same time. AWS::EC2::EIP Use the PublicIpv4Pool property to specify the ID of an address pool that you own to let Amazon EC2 select an address from the address pool. AWS::ElasticLoadBalancingV2::Listener In the Action property type:  Use the AuthenticateCognitoConfig property to specify request parameters to use when integrating with Amazon Cognito to authenticate users.   Use the AuthenticateOidcConfig property to request parameters when using an identity provider (IdP) that is compliant with OpenID Connect (OIDC) to authenticate users.   Use the FixedResponseConfig property to specify information about an action that returns a custom HTTP response.   Use the RedirectConfig property to specify information about a redirect action.   AWS::ElasticLoadBalancingV2::ListenerRule In the Actions property type:  Use the AuthenticateCognitoConfig property to specify request parameters to use when integrating with Amazon Cognito to authenticate users.   Use the AuthenticateOidcConfig property to request parameters when using an identity provider (IdP) that is compliant with OpenID Connect (OIDC) to authenticate users.   Use the FixedResponseConfig property to specify information about an action that returns a custom HTTP response.   Use the RedirectConfig property to specify information about a redirect action.   AWS::EMR::Cluster Use the HadoopJarStepConfig property type to specify a job flow step consisting of a JAR file whose main function will be executed.  Use the StepConfig property type to specify a cluster (job flow) step.  Use the KeyValue property type to specify a key value pair.  In the JobFlowInstancesConfig property type, use KeepJobFlowAliveWhenNoSteps property to specify whether the cluster should remain available after completing all steps. AWS::OpsWorks::Layer In the VolumeConfiguration property type, use the Encrypted property to specify whether an Amazon EBS volume is encrypted. AWS::RDS::DBCluster Use the DeletionProtection property to indicate whether the DB cluster should have deletion protection enabled. The database can't be deleted when this value is set to true. If you want to delete a stack with a protected cluster, update this value to false before you delete the stack. AWS::RDS::DBInstance Use the DeleteAutomatedBackups property to indicate whether automated backups should be deleted (true) or retained (false) when you delete a DB instance. The default is true.  Use the DeletionProtection property to indicate whether the DB instance should have deletion protection enabled. The database can't be deleted when this value is set to true. If you want to delete a stack with a protected instance, update this value to false before you delete the stack. AWS::S3::Bucket Use the PublicAccessBlockConfiguration property to specify the public access configuration for an Amazon S3 bucket. AWS::SNS::Topic Use the KmsMasterKeyId property to specify an AWS KMS key identifier. This can be a key ID, key ARN, or key alias.","November 19, 2018"
Updated resource,"The following resource was updated: AWS::CodePipeline::Pipeline. AWS::CodePipeline::Pipeline Use the ArtifactStores property to specify a list of ArtifactStoreMap mappings. There must be an artifact store for the pipeline region and for each cross-region action within the pipeline. You can only use either ArtifactStore or ArtifactStores, not both.  In the Actions property type, use the Region property to specify the action’s AWS Region, such as us-east-1.","November 13, 2018"
